Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee,
National,4,14,40,7,Dr. Nikhat Shakeel Khan[MQM],"The Provincial Motor Vehicles (Amendment) Bill, 2015
[Support]",Private,Not Applicable,Introduced
National,4,14,40,7,Dr. Azra Fazal Pecheho[PPPP],"The Privatization Commission (Amendment) Bill, 2015
[Support]",Private,Not Applicable,Withdrawn
National,4,14,40,7,Dr. Nikhat Shakeel Khan[MQM],"The Pakistan Penal Code (Amendment) Bill, 2014
[Support]",Private,Not Applicable,Rejected
National,4,14,40,7,Sajid Ahmed[MQM],"The Pakistan Penal Code (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Dropped
National,4,14,40,7,"Mohammad Salman Khan Baloch[MQM]
Kishwer Zehra[MQM]","The Religious Scholars, Ulema and Pesh Imams (Prayers Leaders) Welfare Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Sajid Ahmed[MQM],"The Pakistan Penal Code (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,4,14,40,2,Kanwar Naveed Jamil[MQM],"The Constitution (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Dropped
National,4,14,40,2,"Mohammad Salman Khan Baloch[MQM]
Kishwer Zehra[MQM]","The Religious Scholars, Ulema and Pesh Imams (Prayers Leaders) Welfare Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,4,14,40,2,Dr. Shazia Sobia[PPPP],"The Emigration (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Sajid Nawaz[PTI],"The Islamabad Capital Territory Prohibition of Private Money Lending Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Shazia Marri[PPPP],"The Islamabad Capital Territory Prohibition of Employment of Children Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Babar Nawaz Khan[PML-N],"The Transplantation of Human Organs and Tissues (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,"Mehboob Alam[MQM]
Sajid Ahmed[MQM]
Dr. Fouzia Hameed[MQM]","The Pakistan Electronic Media Regulatory Authority (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,"Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Prohibition of Smoking and Protection of Non-Smokers Health (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Dr. Shazia Sobia[PPPP],"The Police Order (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Withdrawn
National,4,14,40,2,"Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Children (Pledging of Labour) (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Asiya Naz Tanoli[PML-N],"The Civil Servants (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Mrs. Shahida Rehmani[PPPP],"The Criminal Law (Amendment) Bill, 2017 (Insertion of new Section 377, Act XLV of 1860 and Amendment of Schedule II, Act V of 1998)
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Zahra Wadood Fatemi[PML-N],"The Criminal Law (Amendment) Bill, 2017 (Insertion of new Section 364-B, Act XLV of 1860 and Amendment of Schedule II, Act V of 1998)
[Support]",Private,Not Applicable,Introduced
National,4,14,40,2,Sajida Begum[PTI],"The Microfinance Institutions (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,40,3,Zahid Hamid Khan[PML-N],"The Constitution (Twenty-seventh Amendment) Bill, 2017
[Support]",Government,Law and Justice,Introduced
National,4,14,40,3,Zahid Hamid Khan[PML-N],"The Constitution (Twenty-sixth Amendment) Bill, 2017
[Support]",Government,Law and Justice,Introduced
National,4,14,40,11,Mohammad Ishaq Dar[PML-N],"The Public Private Partnership Authority Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,4,14,40,11,Zahid Hamid Khan[PML-N],"The Pakistan Commissions of Inquiry Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,4,14,40,11,Zahid Hamid Khan[PML-N],"The Pakistan Army (Amendment) Bill, 2017
[Support]",Government,Not Applicable,Deferred
National,4,14,40,11,Zahid Hamid Khan[PML-N],"The Constitution (Twenty-eighth Amendment) Bill, 2017
[Support]",Government,Not Applicable,Deferred
National,4,14,40,11,Mohammad Ishaq Dar[PML-N],"The Auditor-General’s (Functions, Powers and Terms and Conditions of Service) (Amendment) Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,4,14,40,12,Zahid Hamid Khan[PML-N],"The Constitution (Twenty-eighth Amendment) Bill, 2017",Government,Not Applicable,Passed
National,4,14,40,12,Zahid Hamid Khan[PML-N],"The Pakistan Army (Amendment) Bill, 2017",Government,Not Applicable,Passed
National,4,14,40,13,Zahid Hamid Khan[PML-N],"The Pakistan Commissions of Inquiry Bill, 2017",Government,Not Applicable,Passed
National,4,14,40,13,Mohammad Ishaq Dar[PML-N],"The Public Private Partnership Authority Bill, 2017",Government,Not Applicable,Passed
National,4,14,41,1,Rana Tanveer Hussain[PML-N],"The Pakistan Council for Science and Technology Bill, 2017",Government,Not Applicable,Passed
National,4,14,41,4,Muhammad Baleegh-ur-Rehman[PML-N],"The Compulsory Teaching of Holy Quran Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,4,14,41,5,Dr. Azra Fazal Pecheho[PPPP],"The Domestic Workers (Employment Rights) Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Dr. Azra Fazal Pecheho[PPPP],"The Corporate Rehabilitation Bill, 2015
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Surriya Asghar[PML-N],"The Arbitration and Conciliation Bill, 2015
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Dr. Azra Fazal Pecheho[PPPP],"The Panama Papers Inquiries Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Naeema Kishwar Khan[JUI],"The Civil Servants (Amendment) Bill, 2013
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Zahra Wadood Fatemi[PML-N],"The Islamabad Compulsory Vaccination and Protection of Health Workers Bill, 2015
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Examination Commission for Elementary Education Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Mrs. Aliya Kamran[JUI],"The National Commission on the Status of Women (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Kanwar Naveed Jamil[MQM],"The Constitution (Amendment) Bill, 2017 (Omission of Article 248)
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Asiya Naz Tanoli[PML-N],"The Compulsory Drug Test of Students Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,"Dr. Khalid Maqbool Siddiqui[MQM]
S. A. Iqbal Qadri[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Pakistan Penal Code (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Mrs. Aliya Kamran[JUI],"The National Accountability Bureau (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,"Mohammad Salman Khan Baloch[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Pakistan Standards and Quality Control Authority (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Mrs. Aliya Kamran[JUI],"The Prevention of Corruption (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,"Mehboob Alam[MQM]
Shaikh Salahuddin[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Dr. Fouzia Hameed[MQM]","The Right to Free and Compulsory Education (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Mrs. Aliya Kamran[JUI],"The Constitution (Amendment) Bill, 2017 (Amendment in Article 27)
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Romina Khurshid Alam[PML-N],"The National Centre for Countering Violent Extremism Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Asad Umar[PTI],"The Islamabad Capital Territory Local Government (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Nafeesa Inayatullah Khan Khattak[PTI],"The Constitution (Amendment) Bill, 2017 (Amendment in Article 175, 175A, insertion of Article 191A to 191I, 204, 205 and 207)
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Mrs. Aliya Kamran[JUI],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,"Mohammad Salman Khan Baloch[MQM]
S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]
Dr. Fouzia Hameed[MQM]","The Criminal Law (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,5,Zahra Wadood Fatemi[PML-N],"The Islamabad Birthing Centre and Hospital Maternity Services Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,41,6,Muhammad Baleegh-ur-Rehman[PML-N],"The Compulsory Teaching of the Holy Quran Bill, 2017",Government,Not Applicable,Passed
National,4,14,42,1,Sikandar Hayat Khan Bosan[PML-N],"The National Food Safety, Animal and Plant Health Regulatory Authority Bill, 2017
[Support]",Government,National Food Security and Research,Introduced
National,4,14,42,1,Mohammad Ishaq Dar[PML-N],"The Investment Corporation of Pakistan (Repeal) Bill, 2017
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",Introduced
National,4,14,42,1,Mr. Kamran Michael[PML-N],"The Islamabad Capital Territory Child Protection Bill, 2017
[Support]",Government,Human Rights,Introduced
National,4,14,42,1,Abdul Qadir Baloch[PML-N],"The Tribal Areas Rewaj Bill, 2017
[Support]",Government,Law and Justice,Introduced
National,4,14,42,1,Abdul Qadir Baloch[PML-N],"The Supreme Court of Pakistan and the Peshawar High Court (Extension of Jurisdiction to the Federally Administered Tribal Areas) Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,4,14,42,1,Abdul Qadir Baloch[PML-N],"The Constitution (Thirtieth Amendment) Bill, 2017
[Support]",Government,States and Frontier Regions,Introduced
National,4,14,42,1,Zahid Hamid Khan[PML-N],"The Constitution (Twenty-Ninth Amendment) Bill, 2017
[Support]",Government,Law and Justice,Introduced
National,4,14,42,2,Dr. Azra Fazal Pecheho[PPPP],"The Domestic Workers (Employment Rights) Bill, 2016
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Dr. Azra Fazal Pecheho[PPPP],"The Corporate Rehabilitation Bill, 2015
[Support]",Private,Not Applicable,Rejected
National,4,14,42,2,Surriya Asghar[PML-N],"The Arbitration and Conciliation Bill, 2015
[Support]",Private,Not Applicable,Deferred
National,4,14,42,2,Dr. Azra Fazal Pecheho[PPPP],"The Panama Papers Inquiries Bill, 2016
[Support]",Private,Not Applicable,Rejected
National,4,14,42,2,Naeema Kishwar Khan[JUI],"The Civil Servants (Amendment) Bill, 2013
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Zahra Wadood Fatemi[PML-N],"The Islamabad Compulsory Vaccination and Protection of Health Workers Bill, 2015
[Support]",Private,Not Applicable,Deferred
National,4,14,42,2,Rana Muhammad Qasim Noon[PML-N],"The Senate Secretariat Services Bill, 2017",Private,Not Applicable,Passed
National,4,14,42,2,Asiya Naz Tanoli[PML-N],"The Compulsory Drug Test of Students Bill, 2017
[Support]",Private,Not Applicable,Dropped
National,4,14,42,2,Mrs. Aliya Kamran[JUI],"The Prevention of Corruption (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Romina Khurshid Alam[PML-N],"The National Centre for Countering Violent Extremism Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Naeema Kishwar Khan[JUI],"The Criminal Law (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Rejected
National,4,14,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Examination Commission for Elementary Education Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,4,14,42,2,Muhammad Muzammil Qureshi[MQM],"The National Commission for Human Rights (Amendments) Bill, 2017 (Amendment in section 3 and 5, Act XVI of 2012)
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,"Mohammad Salman Khan Baloch[MQM]
S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]
Dr. Fouzia Hameed[MQM]","The Criminal Law (Amendment) Bill, 2017 (Amendment of section 173, Act V of 1898)
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Mrs. Aliya Kamran[JUI],"The National Accountability Bureau (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Withdrawn
National,4,14,42,2,Mrs. Aliya Kamran[JUI],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2017 (Amendment of Section 5 and Amendment of Schedule, Act XXXV of 1973)
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,4,14,42,2,Mrs. Aliya Kamran[JUI],"The Constitution (Amendment) Bill, 2017 (Amendment in Article 27)
[Support]",Private,Not Applicable,Withdrawn
National,4,14,42,2,Shakila Luqman[PML-N],"The Criminal Law (Amendment) Bill, 2017 (Insertion of new section, Act XLV of 1860 and Amendment of schedule II, Act V of 1898)
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,"Zahra Wadood Fatemi[PML-N]
Naeema Kishwar Khan[JUI]","The Islamabad Birthing Centre and Hospital Maternity Services Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,"Mehboob Alam[MQM]
Shaikh Salahuddin[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Dr. Fouzia Hameed[MQM]","The Right to Free and Compulsory Education (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Kanwar Naveed Jamil[MQM],"The Constitution (Amendment) Bill, 2017 (Omission of Article 248)
[Support]",Private,Not Applicable,Rejected
National,4,14,42,2,Mrs. Aliya Kamran[JUI],"The National Commission on the Status of Women (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Rejected
National,4,14,42,2,"Mohammad Salman Khan Baloch[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Pakistan Standards and Quality Control Authority (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,4,14,42,2,Nafeesa Inayatullah Khan Khattak[PTI],"The Constitution (Amendment) Bill, 2017 (Amendment in Article 175, 175A, insertion of Article 191A to 191I, 204, 205 and 207)
[Support]",Private,Not Applicable,Withdrawn
National,4,14,42,2,"Dr. Khalid Maqbool Siddiqui[MQM]
S. A. Iqbal Qadri[MQM]
Iqbal Muhammad Ali Khan[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Pakistan Penal Code (Amendment) Bill, 2017 (Insertion of new sections 167A and 344A, Act XLV of 1860)
[Support]",Private,Not Applicable,Introduced
National,4,14,42,2,Asad Umar[PTI],"The Islamabad Capital Territory Local Government (Amendment) Bill, 2017 (Amendment of Section 11, 13, 27, 67, 82, 89, 91, 95, 96, 97, 98, 115, 117 and Amendment of Second and Fourth schedules, Act X of 2015)
[Support]",Private,Not Applicable,Introduced
National,4,14,42,3,Sheikh Aftab Ahmed[PML-N],"The National School of Public Policy (Amendment) Bill, 2017",Government,Not Applicable,Passed
National,4,14,42,3,Khurram Dastgir Khan[PML-N],"The Marine Insurance Bill, 2017",Government,Not Applicable,Passed
National,4,14,42,4,Zahid Hamid Khan[PML-N],"The Alternate Dispute Resolution Bill, 2017",Government,Not Applicable,Passed
National,4,14,42,4,Marvi Memon[PML-N],"The Acid and Burn Crime Bill, 2014
[Support]",Private,Not Applicable,Deferred
National,4,14,42,4,Dr. Azra Fazal Pecheho[PPPP],"The National University of Medical Sciences (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Deferred
National,4,14,42,4,Surriya Asghar[PML-N],"The Law Reforms (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Rejected
National,4,14,42,4,Surriya Asghar[PML-N],"The Code of Civil Procedure (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Deferred
National,4,14,42,4,Dr. Azra Fazal Pecheho[PPPP],"The Representation of the People (Amendment) Bill, 2017",Private,Not Applicable,Passed
National,4,14,42,4,Dr. Nikhat Shakeel Khan[MQM],"The Provincial Motor Vehicles (Amendment) Bill, 2015",Private,Not Applicable,Passed
National,4,14,42,4,Surriya Asghar[PML-N],"The Witness Protection, Security and Benefit Bill, 2016",Private,Not Applicable,Passed
National,4,14,42,4,Surriya Asghar[PML-N],"The Anti-Terrorism (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Rejected
National,4,14,42,4,Surriya Asghar[PML-N],"The Land Acquisition (Amendment) Bill, 2016",Private,Not Applicable,Passed
National,4,14,42,4,Surriya Asghar[PML-N],"The Criminal Law (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Deferred
National,4,14,42,4,Dr. Azra Fazal Pecheho[PPPP],"The National Counter Terrorism Authority (Amendment) Bill, 2017",Private,Not Applicable,Passed
National,4,14,42,4,Naeema Kishwar Khan[JUI],"The Pakistan Penal Code (Amendment) Bill, 2017 (Amendment of section 323)
[Support]",Private,Not Applicable,Deferred
National,4,14,42,4,Naeema Kishwar Khan[JUI],"The Pakistan Penal Code (Amendment) Bill, 2017 (Amendment of sections 273, 274 and 275)
[Support]",Private,Not Applicable,Deferred
National,4,14,42,4,Surriya Asghar[PML-N],"The Arbitration and Conciliation Bill, 2015
[Support]",Private,Not Applicable,Introduced
National,4,14,42,4,Zahra Wadood Fatemi[PML-N],"The Islamabad Compulsory Vaccination and Protection of Health Workers Bill, 2015
[Support]",Private,Not Applicable,Introduced
National,4,14,42,4,Muhammad Baleegh-ur-Rehman[PML-N],"The National Skill University Islamabad Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,4,14,43,1,Marvi Memon[PML-N],"The Acid and Burn Crime Bill, 2014
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,1,Dr. Azra Fazal Pecheho[PPPP],"The National University of Medical Sciences (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,1,Surriya Asghar[PML-N],"The Code of Civil Procedure (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,1,Surriya Asghar[PML-N],"The Criminal Law (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,1,Naeema Kishwar Khan[JUI],"The Pakistan Penal Code (Amendment) Bill, 2017 (Amendment of section 323)
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,1,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,1,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Examination Commission for Elementary Education Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,2,Surriya Asghar[PML-N],"The Criminal Law (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,2,Surriya Asghar[PML-N],"The Code of Civil Procedure (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,2,Marvi Memon[PML-N],"The Acid and Burn Crime Bill, 2014
[Support]",Private,Not Applicable,Not Taken Up
National,4,14,43,2,Dr. Azra Fazal Pecheho[PPPP],"The National University of Medical Sciences (Amendment) Bill, 2016
[Support]",Private,Not Applicable,Withdrawn
National,4,14,43,2,Naeema Kishwar Khan[JUI],"The Pakistan Penal Code (Amendment) Bill, 2017 (Amendment of section 323)
[Support]",Private,Not Applicable,Referred the bill to Committee
National,4,14,43,2,Naeema Kishwar Khan[JUI],"The Pakistan Penal Code (Amendment) Bill, 2017 (Amendment of sections 273, 274 and 275)
[Support]",Private,Not Applicable,Referred the bill to Committee
National,4,14,43,2,Mr. Kamran Michael[PML-N],"The Juvenile Justice System Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,4,14,43,2,Mohammad Ishaq Dar[PML-N],"The Companies Bill, 2017",Government,Not Applicable,Passed
National,4,14,43,3,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,43,14,Mohammad Ishaq Dar[PML-N],"The Finance Bill, 2017",Government,Not Applicable,Passed
National,5,14,44,3,Zahid Hamid Khan[PML-N],"The National University of Technology Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,3,Mohammad Ishaq Dar[PML-N],"The SBP Banking Services Corporation (Amendment) Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,3,Abid Sher Ali[PML-N],"The Private Power and Infrastructure Board (Amendment) Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,3,Abid Sher Ali[PML-N],"The Regulation of Generation, Transmission and Distribution of Electric Power (Amendment) Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,3,Zahid Hamid Khan[PML-N],"The Elections Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,4,Marvi Memon[PML-N],"The Acid and Burn Crime Bill, 2014
[Support]",Private,Not Applicable,Deferred
National,5,14,44,4,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Publication of Laws of Pakistan Bill, 2017
[Support]",Private,Not Applicable,Withdrawn
National,5,14,44,4,"Mohammad Salman Khan Baloch[MQM]
Mehboob Alam[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]","The Constitution (Amendment) Bill, 2017 (Amendment of Article 5)
[Support]",Private,Not Applicable,Introduced
National,5,14,44,4,Surriya Asghar[PML-N],"The National Database and Registration Authority (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,5,14,44,4,"Mohammad Salman Khan Baloch[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]","The Pakistan Standards and Quality Control Authority (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,5,14,44,4,"Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]","The Constitution (Amendment) Bill, 2017 (Amendment in Article 198)
[Support]",Private,Not Applicable,Deferred
National,5,14,44,4,Naeema Kishwar Khan[JUI],"The Transgender Persons (Protection of Rights) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,5,14,44,4,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Gas (Theft Control and Recovery) (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Rejected
National,5,14,44,4,"Dr. Khalid Maqbool Siddiqui[MQM]
Syed Waseem Hussain[MQM]
S. A. Iqbal Qadri[MQM]
Mehboob Alam[MQM]
Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Dr. Muhammad Farooq Sattar[MQM]
Syed Ali Raza Abidi[MQM]
Muhammad Muzammil Qureshi[MQM]
Iqbal Muhammad Ali Khan[MQM]
Kishwer Zehra[MQM]
Dr. Fouzia Hameed[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]
Sanjay Perwani[MQM]
Muhammad Kamal Malik[MQM]","The Constitution (Amendment) Bill, 2017 (Amendment in Article 160)
[Support]",Private,Not Applicable,Deferred
National,5,14,44,4,Mussarat Ahmadzeb[PTI],"The Pakistan Bait-ul-Mal (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Rejected
National,5,14,44,4,Sajida Begum[PTI],"The Trade Organizations (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Dropped
National,5,14,44,4,Nafeesa Inayatullah Khan Khattak[PTI],"The Islamabad Examination Commission for Elementary Education Bill, 2017
[Support]",Private,Not Applicable,Rejected
National,5,14,44,4,Babar Nawaz Khan[PML-N],"The Trafficking in Persons Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,5,14,44,4,"Shaikh Salahuddin[MQM]
Muhammad Muzammil Qureshi[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Federal Employees Benevolent Fund and Group Insurance (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,5,14,44,4,Asiya Naz Tanoli[PML-N],"The Compulsory Drug Test of Students Bill, 2017
[Support]",Private,Not Applicable,Deferred
National,5,14,44,4,"Mussarat Ahmadzeb[PTI]
Naeema Kishwar Khan[JUI]","The Criminal Law (Amendment) Bill, 2017
[Support]",Private,Not Applicable,Introduced
National,5,14,44,5,Zahid Hamid Khan[PML-N],"The Public Interest Disclosures Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,5,14,44,7,Zahid Hamid Khan[PML-N],"The Elections Bill, 2017
[Support]",Government,Not Applicable,Deferred
National,5,14,44,7,Zahid Hamid Khan[PML-N],"The Public Interest Disclosures Bill, 2017",Government,Not Applicable,Passed
National,5,14,44,7,Muhammad Pervaiz Malik[PML-N],"The Pakistan Tobacco Board (Amendment) Bill, 2017",Government,Not Applicable,Passed
National,5,14,44,7,Mohammad Ishaq Dar[PML-N],"The Establishment of Federal Bank for Cooperatives and Regulation of Cooperative Banking (Repeal) Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,8,Zahid Hamid Khan[PML-N],"The Elections Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,5,14,44,9,Mohammad Ishaq Dar[PML-N],"The House Building Finance Corporation (Repeal) Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,5,14,44,9,Zahid Hamid Khan[PML-N],"The Elections Bill, 2017
[Support]",Government,Not Applicable,Not Taken Up
National,5,14,44,10,Mohammad Ishaq Dar[PML-N],"The House Building Finance Corporation (Repeal) Bill, 2017
[Support]",Government,Not Applicable,Introduced
National,5,14,44,10,Zahid Hamid Khan[PML-N],"The Elections Bill, 2017",Government,Not Applicable,Passed
National,5,14,45,1,Babar Nawaz Khan[PML-N],"The Trafficking in Persons Bill, 2017
[Support]",Private,Not Applicable,Not Taken Up
