Assembly,Parliamentary Year,Term,Session No.,Sitting No.,Representative,Bill,Bill Type,Standing Committee,
National,1,14,6,6,Sheikh Aftab Ahmed[PML-N],"The Federal Employees Benevolent Fund and Group Insurance (Amendment) Bill, 2013
[Support]",Government,Cabinet Secretariat,
National,1,14,6,7,Jamshaid Ahmad Dasti[IND],"The Constitution (Amendment) Bill, 2013
[Support]",Private,Not Applicable,
National,1,14,6,7,Mohammad Ayaz Soomro[PPPP],"The Code of Criminal Procedure (Amendment) Bill, 2013
[Support]",Private,Not Applicable,
National,1,14,6,7,"Dr. Khalid Maqbool Siddiqui[MQM]
S. A. Iqbal Qadri[MQM]
Sufyan Yousuf[MQM]
Abdul Rashid Godil[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]
Dr. Nikhat Shakeel Khan[MQM]","The Pakistan Bait-ul-Mal (Amendment) Bill, 2013
[Support]",Private,Cabinet Secretariat,
National,1,14,6,7,"Muhammad Rehan Hashmi[MQM]
Sufyan Yousuf[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]","The National Database and Registration Authority (Amendment) Bill, 2013
[Support]",Private,Not Applicable,
National,1,14,6,7,"Mohammad Salman Khan Baloch[MQM]
Khawaja Sohail Mansoor[MQM]
S. A. Iqbal Qadri[MQM]
Muhammad Rehan Hashmi[MQM]
Sufyan Yousuf[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]
Tahira Asif[MQM]","The Criminal Law (Amendment) Bill, 2013 (Insertion of new section 177A, Act XLV of 1860 and Amendment of Schedule II, Act V of 1898)
[Support]",Private,Interior and Narcotics Control,
National,1,14,6,7,Surriya Asghar[PML-N],"The Control of Narcotics Substances (Amendment) Bill, 2013 (Amendment in section 9)
[Support]",Private,Not Applicable,
National,1,14,6,7,Dr. Shireen Mehrunnisa Mazari[PTI],"The Ratification of International Treaties Bill, 2013
[Support]",Private,Foreign Affairs,
National,1,14,6,7,Kishwer Zehra[MQM],"The Constitution (Amendment) Bill, 2013 (Amendment in Article 51and 59)
[Support]",Private,Not Applicable,
National,1,14,6,7,Rana Afzaal Hussain[PML-N],"The Representation of the People (Amendment) Bill, 2013
[Support]",Private,Not Applicable,
National,1,14,7,1,Khawaja Muhammad Asif[PML-N],"The Cantonments Laws (Amendment) Bill, 2013
[Support]",Government,Defence,
National,1,14,7,2,Ch. Nisar Ali Khan[PML-N],"The Islamabad Capital Territory Local Government Bill, 2013
[Support]",Government,Not Applicable,
National,1,14,7,3,Ch. Nisar Ali Khan[PML-N],"The Islamabad Capital Territory Local Government Bill, 2013
[Support]",Government,Interior and Narcotics Control,
National,1,14,7,4,Kishwer Zehra[MQM],"The Criminal Law (Amendment) Bill, 2013
[Support]",Private,Not Applicable,
National,1,14,7,4,Surriya Asghar[PML-N],"The Control of Narcotics Substances (Amendment) Bill, 2013 (Amendment in section 9)
[Support]",Private,Not Applicable,
National,1,14,7,4,"Muhammad Rehan Hashmi[MQM]
Sufyan Yousuf[MQM]
Sajid Ahmed[MQM]
Kishwer Zehra[MQM]","The National Database and Registration Authority (Amendment) Bill, 2013
[Support]",Private,Not Applicable,
National,1,14,7,4,Mohammad Ayaz Soomro[PPPP],"The Code of Criminal Procedure (Amendment) Bill, 2013
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,7,4,Dr. Ramesh Kumar Vankwani[PML-N],"The Constitution (Amendment) Bill, 2013 (Amendment in Article 51 and 106)
[Support]",Private,Not Applicable,
National,1,14,7,4,Kishwer Zehra[MQM],"The Constitution (Amendment) Bill, 2013 (Amendment in Article 51and 59)
[Support]",Private,Not Applicable,
National,1,14,7,9,Kishwer Zehra[MQM],"The Constitution (Amendment) Bill, 2013 (Amendment in Article 51and 59)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,7,9,Dr. Ramesh Kumar Vankwani[PML-N],"The Constitution (Amendment) Bill, 2013 (Amendment in Article 51 and 106)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,7,9,Surriya Asghar[PML-N],"The Control of Narcotics Substances (Amendment) Bill, 2013 (Amendment in section 9)
[Support]",Private,Not Applicable,
National,1,14,8,1,Pervaiz Rashid[PML-N],"The Criminal Law (Amendment) Ordinance, 2013 (No. X of 2013)
[Support]",Government,"Law, Justice and Human Rights",
National,1,14,8,2,"Sher Akbar Khan[JI]
Sahibzada Tariq Ullah[JI]
Sahib Zada Muhammad Yaqub[JI]
Aisha Syed[JI]","The Education of the Holy Quran according to recitation by sighting and withtranslation, learning by heart and with correct pronunciation Bill, 2014
[Support]",Private,Religious Affairs and Inter-faith Harmony,
National,1,14,8,2,"Abdul Waseem[MQM]
Shaikh Salahuddin[MQM]
Sufyan Yousuf[MQM]
Kishwer Zehra[MQM]
Saman Sultana Jafri[MQM]","The Criminal Law (Amendment) Bill, 2014 (Insertion of new sections 166-A, 166-B, 176-A, 177-B, 176-C, 176-D, 176-E, 176-F, 176-G, 176-H and Amendment in Schedule II)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,8,2,"S. A. Iqbal Qadri[MQM]
Shaikh Salahuddin[MQM]
Syed Ali Raza Abidi[MQM]
Syed Asif Hasnain[MQM]
Dr. Darshan[PML-N]
Bhawan Das[PML-N]
Isphanyar M. Bhandara[PML-N]
Ramesh Lal[PPPP]
Lal Chand Malhi[PTI]
Sanjay Perwani[MQM]","The Constitution (Amendment) Bill, 2014 (Amendment in Articles 51 and 106)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,8,2,"Syed Waseem Hussain[MQM]
Abdul Waseem[MQM]
Sufyan Yousuf[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]","The Civil Servants (Amendment) Bill, 2014 (Amendment in section 19)
[Support]",Private,Not Applicable,
National,1,14,8,2,Awais Ahmad Khan Leghari[PML-N],"The Civil Servants (Amendment) Bill, 2014 (Insertion of new section 5A)
[Support]",Private,Not Applicable,
National,1,14,8,4,Pervaiz Rashid[PML-N],"The Protection of Pakistan (Amendment) Ordinance, 2014 (No. I of 2014)
[Support]",Government,Interior and Narcotics Control,
National,1,14,8,6,Ch. Nisar Ali Khan[PML-N],"The Protection of Pakistan Bill, 2013
[Support]",Government,Not Applicable,
National,1,14,8,6,Ch. Nisar Ali Khan[PML-N],"The Anti-terrorism (Amendment) Bill, 2014
[Support]",Government,Not Applicable,
National,1,14,8,6,Ch. Nisar Ali Khan[PML-N],"The Anti-terrorism (Amendment) Bill, 2013
[Support]",Government,Not Applicable,
National,1,14,8,7,Awais Ahmad Khan Leghari[PML-N],"The Civil Servants (Amendment) Bill, 2014 (Insertion of new section 5A)
[Support]",Private,,
National,1,14,8,7,"Syed Waseem Hussain[MQM]
Abdul Waseem[MQM]
Sufyan Yousuf[MQM]
Muhammad Muzammil Qureshi[MQM]
Kishwer Zehra[MQM]","The Civil Servants (Amendment) Bill, 2014 (Amendment in section 19)
[Support]",Private,Cabinet Secretariat,
National,1,14,8,7,Mohammad Ayaz Soomro[PPPP],"The Code of Criminal Procedure (Amendment) Bill, 2014 (Amendment in section 22-A)
[Support]",Private,Interior and Narcotics Control,
National,1,14,8,8,Ch. Nisar Ali Khan[PML-N],"The Protection of Pakistan Bill, 2013
[Support]",Government,Not Applicable,
National,1,14,8,8,Ch. Nisar Ali Khan[PML-N],"The Anti-terrorism (Amendment) Bill, 2014",Government,Not Applicable,
National,1,14,8,8,Ch. Nisar Ali Khan[PML-N],"The Anti-terrorism (Amendment) Bill, 2013",Government,Not Applicable,
National,1,14,9,1,Pervaiz Rashid[PML-N],"The Gas (Theft Control and Recovery) Ordinance, 2014 (No. II of 2014)
[Support]",Government,Petroleum and Natural Resources,
National,1,14,9,1,Pervaiz Rashid[PML-N],"The Legal Practitioners and Bar Councils (Amendment) Bill, 2013",Government,Not Applicable,
National,1,14,9,2,Maj. Retd. Tahir Iqbal[PML-N],"The Shaheed Zulfiqar Ali Bhutto Medical University Islamabad (Amendment) Bill, 2014], (Amendment in sections 2, 3, 12, 14, 15, 16, 17, 19, 21,24, 25, 26, 34, 42, amendment in schedule and insertion of new section 11A)
[Support]",Private,Cabinet Secretariat,
National,1,14,9,2,Surriya Asghar[PML-N],"The Control of Narcotics Substances (Amendment) Bill, 2014, (Amendment in section 9, insertion of new section 9A)
[Support]",Private,Interior and Narcotics Control,
National,1,14,9,2,"Leila Khan[PML-N]
Marvi Memon[PML-N]","The Criminal Law (Amendment) Bill, 2014], (Amendment in section 82, Omission of section 83, insertion of new sections 292A, 292B, 292C, 328A, 369A, 377A and 377B)
[Support]",Private,Interior and Narcotics Control,
National,1,14,9,2,"Muhammad Safdar[PML-N]
Ibadullah[PML-N]
Shahab-ud-Din Khan[PML-N]
Qaisar Ahmad Sheikh[PML-N]
Makhdoom Syed Ali Hassan Gillani[PML-N]
Makhdoom Khusro Bakhtiar[PML-N]
Khalid Hussain Magsi[PML-N]
Marvi Memon[PML-N]
Begum Tahira Bukhari[PML-N]
Kiran Haider[PML-N]","The Constitution (Amendment) Bill, 2014 (Substitution of Article 251)
[Support]",Private,"Law, Justice and Human Rights",
National,1,14,9,3,Pervaiz Rashid[PML-N],"The Federal Court (Repeal) Bill, 2013",Government,Not Applicable,
National,1,14,9,4,Pervaiz Rashid[PML-N],"The National Judicial (Policy Making) Committee (Amendment) Bill, 2013",Government,Not Applicable,
National,1,14,9,4,Mohammad Ishaq Dar[PML-N],"The Credit Bureaus Bill, 2014
[Support]",Government,"Finance, Revenue, Economic Affairs, Statistics and Privatization",
National,1,14,9,7,Mohammad Ayaz Soomro[PPPP],"The Appointment and Continuation of Services of Government Servants (Absorbed / Appointed by Transfer) Bill, 2014
[Support]",Private,Not Applicable,
National,1,14,9,7,"Dr. Darshan[PML-N]
Dr. Ramesh Kumar Vankwani[PML-N]
Ramesh Lal[PPPP]","The Hindu Marriage Bill, 2014
[Support]",Private,Not Applicable,
National,1,14,9,7,Shaista Pervaiz[PML-N],"The Criminal Law (Amendment) Bill, 2014
[Support]",Private,Interior and Narcotics Control,
National,1,14,9,8,Pervaiz Rashid[PML-N],"The Law and Justice Commission of Pakistan (Amendment) Bill, 2013",Government,Not Applicable,
