Id,Label,Latest_Party,Total_Bills,Government_Bills,Private_Bills
Muhammad Hammad Azhar,Muhammad Hammad Azhar,PTI,23,23,0
Marvi Memon,Marvi Memon,PML-N,23,0,23
Dr. Zulfiqar Ali Bhatti,Dr. Zulfiqar Ali Bhatti,PML-N,23,0,23
Jamshaid Ahmad Dasti,Jamshaid Ahmad Dasti,IND,22,0,22
Makhdoom Shah Mahmood Qureshi,Makhdoom Shah Mahmood Qureshi,PTI,22,12,10
Nooreen Farooq Khan,Nooreen Farooq Khan,PTI,22,0,22
Mohammad Ayaz Soomro,Mohammad Ayaz Soomro,PPPP,22,0,22
Noor-ul-Haq Qadri,Noor-ul-Haq Qadri,PTI,22,22,0
Mehboob Alam,Mehboob Alam,MQM,21,0,21
Syed Waseem Hussain,Syed Waseem Hussain,MQM,21,0,21
Asma Hadeed,Asma Hadeed,PTI,21,0,21
Syed Mohsin Raza Naqvi,Syed Mohsin Raza Naqvi,IND,21,21,0
Wajiha Akram,Wajiha Akram,PTI,21,0,21
Mehnaz Akber Aziz,Mehnaz Akber Aziz,PML-N,21,1,20
Ahsan Iqbal,Ahsan Iqbal,PML-N,20,16,4
Shahid Khaqan Abbasi,Shahid Khaqan Abbasi,PML-N,20,4,16
Romina Khurshid Alam,Romina Khurshid Alam,PML-N,19,0,19
Ali Nawaz Awan,Ali Nawaz Awan,PTI,19,0,19
Mohammad Salman Khan Baloch,Mohammad Salman Khan Baloch,MQM,19,0,19
Muhammad Aslam Khan,Muhammad Aslam Khan,PTI,19,0,19
Rana Muhammad Qasim Noon,Rana Muhammad Qasim Noon,PTI,18,0,18
Shahida Akhtar Ali,Shahida Akhtar Ali,JUI,18,0,18
Munaza Hassan,Munaza Hassan,PTI,18,0,18
Ali Gohar Khan,Ali Gohar Khan,PML-N,17,0,17
Mohammad Aslam Bhootani,Mohammad Aslam Bhootani,IND,17,0,17
Sher Ali Arbab,Sher Ali Arbab,PTI,17,0,17
Faheem Khan,Faheem Khan,PTI,17,0,17
Dr. Muhammad Farooq Sattar,Dr. Muhammad Farooq Sattar,MQM,16,0,16
Aasiya Nasir,Aasiya Nasir,JUI,16,0,16
Faiz Ullah,Faiz Ullah,PTI,16,0,16
Mrs. Mahreen Razaque Bhutto,Mrs. Mahreen Razaque Bhutto,PPPP,16,0,16
Asiya Naz Tanoli,Asiya Naz Tanoli,PML-N,15,0,15
Samina Matloob,Samina Matloob,PML-N,15,0,15
Rana Muhammad Afzal Khan,Rana Muhammad Afzal Khan,PML-N,15,15,0
Sharmila Sahiba Faruqui Hashaam,Sharmila Sahiba Faruqui Hashaam,PPPP,15,0,15
Raja Khurram Shahzad Nawaz,Raja Khurram Shahzad Nawaz,PTI,14,0,14
Imran Khattak,Imran Khattak,PTI,14,0,14
Shahadat Awan,Shahadat Awan,PPPP,14,14,0
Musadik Masood Malik,Musadik Masood Malik,IND,13,13,0
Choudhary Faqir Ahmad,Choudhary Faqir Ahmad,PML-N,13,0,13
Maj. Retd. Tahir Iqbal,Maj. Retd. Tahir Iqbal,PML-N,13,0,13
Syed Asif Hasnain,Syed Asif Hasnain,MQM,12,0,12
Malik Muhammad Aamir Dogar,Malik Muhammad Aamir Dogar,IND,12,0,12
Junaid Akbar,Junaid Akbar,PTI,11,0,11
Mrs. Belum Hasnain,Mrs. Belum Hasnain,PPPP,11,0,11
Muhammad Sana Ullah Khan Masti Khel,Muhammad Sana Ullah Khan Masti Khel,PTI,11,0,11
Ali Khan Jadoon,Ali Khan Jadoon,PTI,11,0,11
Dr. Shazia Sobia,Dr. Shazia Sobia,PPPP,11,0,11
Jai Parkash,Jai Parkash,PTI,11,0,11
Rana Iradat Sharif Khan,Rana Iradat Sharif Khan,PML-N,11,0,11
Dr. Arif Alvi,Dr. Arif Alvi,PTI,11,0,11
