"Name","Party","Degree","EI_Index"
"Muhammad Azam Khan Swati","PTI",9,0.777777777777778
"Sajid Hussain Turi","PPPP",5,0.2
"Naveed Amir","PPPP",10,-0.4
"Abdul Rashid Godil","MQM",20,-1
"Muhammad Kamal Malik","MQM",24,-0.833333333333333
"Qaisar Ahmad Sheikh","PML-N",25,-0.166666666666667
"Aamer Mehmood Kiyani","PTI",6,-0.666666666666667
"Shandana Gulzar Khan","PTI",13,-1
"Rai Muhammad Murtaza Iqbal","PTI",28,-0.642857142857143
"Ameer Zaman","JUI",17,-0.230769230769231
"Aftab Jehangir","PTI",19,0.111111111111111
"Fauzia Behram","PTI",21,-0.428571428571429
"Abdul Shakoor","MMA",16,-0.466666666666667
"Siraj Muhammad Khan","PTI",5,-1
"Dr. Seemin Abdul Rehman Bokhari","PTI",27,-0.259259259259259
"Seema Mohiuddin Jameeli","PML-N",54,0.037037037037037
"Kiran Imran","PML-N",11,-0.0909090909090909
"Parveen Masood Bhatti","PML-N",26,-0.461538461538462
"Kanwar Naveed Jamil","MQM",19,-1
"Ramesh Lal","PPPP",21,0.333333333333333
"Dr. Muhammad Afzal Khan Dhandla","PTI",20,-0.2
"Rao Muhammad Ajmal Khan","PML-N",11,-0.0909090909090909
"Haider Ali","PTI",29,-0.517241379310345
"Nawab Muhammad Yousuf Talpur","PPPP",14,0.0909090909090909
"Muhammad Pervaiz Malik","PML-N",3,-1
"Ghulam Sarwar Khan","PTI",7,-1
"Sahibzada Sibghatullah","SIC",6,-0.333333333333333
"Farrukh Khan",NA,8,NA
"Agha Hassan Baloch",NA,4,NA
"Bilal Azhar Kayani","PML-N",9,-0.333333333333333
"Umar Ayub Khan","PTI",14,0.454545454545455
"Muhammad Raza Hayat Hiraj","PML-N",14,0.636363636363636
"Mohammad Khan Sherani","JUI",15,-0.272727272727273
"Khalid Hussain Magsi",NA,27,NA
"Ghous Bux Khan Mahar",NA,14,NA
"Agha Muhammad","JUI",20,-0.142857142857143
"Sadaqat Ali Khan","PTI",11,-0.818181818181818
"Syed Mehmood Shah","MMA",14,-0.384615384615385
"Ch. Muhammad Ashraf","PML-N",17,0.294117647058824
"Bhawan Das","PML-N",23,0.565217391304348
"Amirullah","PTI",16,-0.875
"Rai Hasan Nawaz Khan","PTI",16,-0.875
"Atta Ullah","PTI",25,-0.68
"Aaisha Gulalai","PTI",15,-0.866666666666667
"Sardar Muhammad Irfan Dogar","PML-N",20,0.2
"Farhana Qamar","PML-N",25,-0.36
"Isphanyar M. Bhandara","PML-N",23,-0.217391304347826
