"Legislator","Party","Degree","Betweenness","Closeness","Eigenvector","PageRank","Total_Bills"
"Malik Nawab Sher Waseer","PTI",21,0.0222681563466267,0.240994854202401,0.00157275331686768,0.00143312634510951,4
"Danyal Chaudhry","PML-N",2,0,NA,0,0.00294117647059922,4
"Syed Shibli Faraz","PTI",2,0,NA,0,0.00294117647059922,3
"Usama Ahmed Mela","SIC",2,0,0.121016365202412,1.08756679855467e-16,0.00209053422195011,3
"Khalida Mansoor","PML-N",2,0,NA,0,0.00294117647059922,3
"Shakila Khalid Chaudhary","PML-N",6,0.00975447654495264,0.213850837138508,1.09801730894131e-06,0.000667881226206205,3
"Muhammad Ibrahim Khan","PTI",42,0.0542998874466452,0.263602251407129,0.00160363950600988,0.00249232488882375,3
"Afreen Khan","MMA",21,0.00775396131956829,0.227346278317152,0.000702126956071097,0.00187337804274558,3
"Lal Chand Malhi","PTI",10,0.0028219703707665,0.209077380952381,6.37449704427e-08,0.00089196474246583,3
"Muhammad Mobeen Arif","SIC",2,0,0.121016365202412,1.09109213663751e-16,0.00209053422195002,3
"Usman Khan Tarrakai","PTI",17,0.00402000405225525,0.229200652528548,1.11881019017476e-05,0.00176298451209721,3
"Ahmad Hussain","PTI",1,0,0.176840780365009,1.54900922092116e-09,0.000503597723822641,3
"Jamshed Thomas","PTI",7,9.64351063158027e-05,0.22444089456869,3.61907123331563e-06,0.00086738956926284,3
"Nighat Parveen","PML-N",6,0.0207638405127413,0.15230352303523,7.99507542056443e-09,0.00188315809631632,3
"Qari Muhammad Yousaf","JUI",20,0.00104980014638113,0.21749226006192,2.30395292071693e-06,0.0018627003873842,3
"Mehmood Khan Achakzai","PKMAP",14,0,0.119371282922685,6.63098292962235e-07,0.00187379206283356,3
"Syed Qazim Ali Shah","PML-F",14,0,0.119371282922685,6.63098292956595e-07,0.00187379206283324,3
"Syed Imran Ahmad Shah","PML-N",7,0.000210450995531764,0.19581881533101,7.86268011977558e-07,0.00134369703360902,3
