Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Nafeesa Inayatullah Khan Khattak,Nafeesa Inayatullah Khan Khattak,38,Undirected,38,0,1,0,38,1;2;3;4;5,14;15,0,
Kishwer Zehra,Syed Amin ul Haque,37,Undirected,37,0,1,0,37,1;2,15,0,
Mian Najibuddin Awaisi,Mian Najibuddin Awaisi,37,Undirected,37,0,1,0,37,1,15,0,
Mohammad Aslam Bhootani,Mohammad Aslam Bhootani,37,Undirected,37,0,1,0,37,5,15,0,
Engineer Sabir Hussain,Syed Amin ul Haque,37,Undirected,37,0,1,0,37,1;2,15,0,
Ijaz Ahmad Shah,Ijaz Ahmad Shah,34,Undirected,34,0,1,34,0,1;2,15,0,
Dr. Fouzia Hameed,Dr. Nikhat Shakeel Khan,34,Undirected,34,0,1,0,34,3;4;5,14,1,Law and Justice
Dr. Fouzia Hameed,S. A. Iqbal Qadri,32,Undirected,32,0,1,0,32,3;4;5,14,0,
Syed Javed Hassnain,Syed Javed Hassnain,32,Undirected,32,0,1,0,32,1;2;3;4;5,15,0,
Muhammad Muzammil Qureshi,Syed Ali Raza Abidi,31,Undirected,31,0,1,0,31,1;3;4;5,14,1,"Law, Justice and Human Rights"
Kishwer Zehra,S. A. Iqbal Qadri,31,Undirected,31,0,1,0,31,1;2;3;4;5,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Zahid Hamid Khan,Zahid Hamid Khan,31,Undirected,31,0,1,31,0,3;4;5,14,0,
Sahibzada Tariq Ullah,Sher Akbar Khan,31,Undirected,31,0,1,0,31,1;2;3;4;5,14,4,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Law, Justice and Human Rights;Religious Affairs and Inter-faith Harmony"
Sahib Zada Muhammad Yaqub,Sher Akbar Khan,30,Undirected,30,0,1,0,30,1;2;3;4;5,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Sahib Zada Muhammad Yaqub,Sahibzada Tariq Ullah,30,Undirected,30,0,1,0,30,1;2;3;4;5,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Khurram Dastgir Khan,Rana Sana Ullah Khan,30,Undirected,30,0,1,0,30,2;3,15,0,
Khurram Dastgir Khan,Mohsin Shah Nawaz Ranjha,30,Undirected,30,0,1,0,30,2;3,15,0,
Aisha Syed,Sahib Zada Muhammad Yaqub,30,Undirected,30,0,1,0,30,1;2;3;4;5,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Aisha Syed,Sher Akbar Khan,30,Undirected,30,0,1,0,30,1;2;3;4;5,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Shazia Marri,Shazia Marri,30,Undirected,30,0,1,1,29,1;2;3;4;5,14;15,0,
Dr. Fouzia Hameed,Shaikh Salahuddin,30,Undirected,30,0,1,0,30,3;4;5,14,0,
Mohsin Shah Nawaz Ranjha,Rana Sana Ullah Khan,30,Undirected,30,0,1,0,30,2;3,15,0,
Salah-ud-Din,Syed Amin ul Haque,30,Undirected,30,0,1,0,30,1;2,15,0,
Aisha Syed,Sahibzada Tariq Ullah,30,Undirected,30,0,1,0,30,1;2;3;4;5,14,3,"Information, Broadcasting and National Heritage;Interior and Narcotics Control;Religious Affairs and Inter-faith Harmony"
Iqbal Muhammad Ali Khan,Syed Amin ul Haque,29,Undirected,29,0,1,0,29,1;2,15,0,
Asiya Azeem,Asiya Azeem,29,Undirected,29,0,1,0,29,5,15,0,
Dr. Fouzia Hameed,Kishwer Zehra,29,Undirected,29,0,1,0,29,3;4;5,14,1,Law and Justice
Abdul Waseem,Muhammad Muzammil Qureshi,29,Undirected,29,0,1,0,29,1;2;4;5,14,2,"Cabinet Secretariat;Law, Justice and Human Rights"
Abdul Waseem,Dr. Nikhat Shakeel Khan,28,Undirected,28,0,1,0,28,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Rana Tanveer Hussain,Rana Tanveer Hussain,28,Undirected,28,0,1,27,1,1;3;4;5,14;15,0,
Noor-ul-Haq Qadri,Noor-ul-Haq Qadri,28,Undirected,28,0,1,28,0,3;4,15,0,
Dr. Nikhat Shakeel Khan,Syed Ali Raza Abidi,28,Undirected,28,0,1,0,28,1;3;4;5,14,1,"Law, Justice and Human Rights"
Saman Sultana Jafri,Shaikh Salahuddin,28,Undirected,28,0,1,0,28,1;2;3;4;5,14,3,"Human Rights;Interior and Narcotics Control;Law, Justice and Human Rights"
Salah-ud-Din,Salah-ud-Din,28,Undirected,28,0,1,0,28,1;2,15,0,
Wajiha Akram,Wajiha Akram,28,Undirected,28,0,1,0,28,5,15,0,
S. A. Iqbal Qadri,Sajid Ahmed,27,Undirected,27,0,1,0,27,1;2;3;4;5,14,3,"Interior and Narcotics Control;Law, Justice and Human Rights;Parliamentary Affairs"
Abdul Waseem,Kishwer Zehra,27,Undirected,27,0,1,0,27,1;2;3;4;5,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Waseem,S. A. Iqbal Qadri,27,Undirected,27,0,1,0,27,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Muhammad Farogh Nasim,Muhammad Farogh Nasim,27,Undirected,27,0,1,27,0,1;3;4,15,0,
Dr. Abdul Hafeez Sheikh,Dr. Abdul Hafeez Sheikh,26,Undirected,26,0,1,26,0,1;2;3,15,0,
Muhammad Muzammil Qureshi,S. A. Iqbal Qadri,26,Undirected,26,0,1,0,26,1;2;3;4;5,14,3,"Cabinet Secretariat;Interior and Narcotics Control;Law, Justice and Human Rights"
Uzma Riaz,Uzma Riaz,26,Undirected,26,0,1,0,26,1;2;3;4,15,0,
Marriyum Aurangzeb,Rana Sana Ullah Khan,26,Undirected,26,0,1,0,26,1;2;3,15,0,
Sajida Begum,Sajida Begum,26,Undirected,26,0,1,0,26,1;2;3;4;5,14;15,0,
Shaikh Salahuddin,Syed Ali Raza Abidi,25,Undirected,25,0,1,0,25,1;4;5,14,1,"Law, Justice and Human Rights"
Kishwer Zehra,Sanjay Perwani,25,Undirected,25,0,1,0,25,2;3;4;5,14,1,"Law, Justice and Human Rights"
Mrs. Aliya Kamran,Mrs. Aliya Kamran,25,Undirected,25,0,1,0,25,1;2;5,15,0,
Dr. Khalid Maqbool Siddiqui,Kishwer Zehra,25,Undirected,25,0,1,0,25,1;3;4;5,14;15,2,Cabinet Secretariat;Law and Justice
Usama Qadri,Usama Qadri,25,Undirected,25,0,1,0,25,1;2,15,0,
Dr. Nikhat Shakeel Khan,Syed Waseem Hussain,24,Undirected,24,0,1,0,24,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Rana Sana Ullah Khan,Shahid Khaqan Abbasi,24,Undirected,24,0,1,0,24,2;3,15,0,
Khawaja Muhammad Asif,Shahid Khaqan Abbasi,24,Undirected,24,0,1,0,24,2;3,15,0,
Mohsin Shah Nawaz Ranjha,Shahid Khaqan Abbasi,24,Undirected,24,0,1,0,24,2;3,15,0,
Khurram Dastgir Khan,Marriyum Aurangzeb,24,Undirected,24,0,1,0,24,2;3,15,0,
Khawaja Muhammad Asif,Rana Sana Ullah Khan,24,Undirected,24,0,1,0,24,2;3,15,0,
Marriyum Aurangzeb,Mohsin Shah Nawaz Ranjha,24,Undirected,24,0,1,0,24,2;3,15,0,
Khurram Dastgir Khan,Shahid Khaqan Abbasi,24,Undirected,24,0,1,0,24,2;3,15,0,
Saman Sultana Jafri,Sanjay Perwani,24,Undirected,24,0,1,0,24,2;3;4;5,14,1,"Law, Justice and Human Rights"
Khawaja Muhammad Asif,Khurram Dastgir Khan,24,Undirected,24,0,1,0,24,2;3,15,0,
Khawaja Muhammad Asif,Mohsin Shah Nawaz Ranjha,24,Undirected,24,0,1,0,24,2;3,15,0,
Iqbal Muhammad Ali Khan,S. A. Iqbal Qadri,24,Undirected,24,0,1,0,24,1;2;3;4;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Abdul Waseem,Syed Ali Raza Abidi,24,Undirected,24,0,1,0,24,1;4;5,14,1,"Law, Justice and Human Rights"
Khawaja Muhammad Asif,Khawaja Saad Rafique,23,Undirected,23,0,1,0,23,2;3,15,0,
Khawaja Saad Rafique,Rana Sana Ullah Khan,23,Undirected,23,0,1,0,23,2;3,15,0,
Khawaja Saad Rafique,Mohsin Shah Nawaz Ranjha,23,Undirected,23,0,1,0,23,2;3,15,0,
Mehboob Alam,S. A. Iqbal Qadri,23,Undirected,23,0,1,0,23,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Khawaja Saad Rafique,Shahid Khaqan Abbasi,23,Undirected,23,0,1,0,23,2;3,15,0,
Shaikh Salahuddin,Syed Waseem Hussain,23,Undirected,23,0,1,0,23,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Kishwer Zehra,Syed Ali Raza Abidi,23,Undirected,23,0,1,0,23,4;5,14,0,
Abdul Waseem,Syed Waseem Hussain,23,Undirected,23,0,1,0,23,1;2;3;4;5,14,2,"Cabinet Secretariat;Law, Justice and Human Rights"
Khawaja Saad Rafique,Khurram Dastgir Khan,23,Undirected,23,0,1,0,23,2;3,15,0,
Muhammad Muzammil Qureshi,Syed Waseem Hussain,23,Undirected,23,0,1,0,23,1;2;3;4;5,14,2,"Cabinet Secretariat;Law, Justice and Human Rights"
Muhammad Muzammil Qureshi,Sajid Ahmed,23,Undirected,23,0,1,0,23,1;2;3;5,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Pervaiz Khattak,Pervaiz Khattak,23,Undirected,23,0,1,23,0,2;3;4,15,0,
Mehboob Alam,Shaikh Salahuddin,23,Undirected,23,0,1,0,23,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Fouzia Hameed,Muhammad Muzammil Qureshi,23,Undirected,23,0,1,0,23,3;4;5,14,0,
S. A. Iqbal Qadri,Syed Waseem Hussain,22,Undirected,22,0,1,0,22,1;2;3;4;5,14,1,"Law, Justice and Human Rights"
Dr. Khalid Maqbool Siddiqui,S. A. Iqbal Qadri,22,Undirected,22,0,1,0,22,1;3;4;5,14,2,Cabinet Secretariat;Interior and Narcotics Control
Dr. Fouzia Hameed,Syed Ali Raza Abidi,22,Undirected,22,0,1,0,22,3;4;5,14,0,
Dr. Nikhat Shakeel Khan,Sanjay Perwani,22,Undirected,22,0,1,0,22,2;3;4;5,14,1,"Law, Justice and Human Rights"
