Source,Target,Weight,Type,Same_Party_Then,Cross_Party_Then,Same_Party_Now,Government_Bills_Together,Private_Bills_Together,Parliamentary_Years,Terms,Shared_Committees_Count,Shared_Committees
Malik Muhammad Aamir Dogar,Usama Qadri,6,Undirected,0,6,0,0,6,1;3,15,0,
Malik Muhammad Aamir Dogar,Rana Muhammad Qasim Noon,6,Undirected,6,0,0,0,6,1;3,15,0,
Malik Muhammad Aamir Dogar,Uzma Riaz,6,Undirected,6,0,0,0,6,1;3,15,0,
Ali Khan Jadoon,Ms. Nafisa Shah,6,Undirected,0,6,0,0,6,1;3,15,0,
Dr. Darshan,Ramesh Lal,6,Undirected,0,6,0,0,6,1,14;15,1,"Law, Justice and Human Rights"
Sanjay Perwani,Sanjay Perwani,6,Undirected,6,0,1,0,6,2;3;5,14,0,
Khalid Hussain Magsi,Rana Muhammad Qasim Noon,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Kishwer Zehra,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Tahira Aurangzeb,6,Undirected,0,6,0,0,6,1;3,15,0,
Mehboob Alam,Muhammad Rehan Hashmi,6,Undirected,6,0,1,0,6,1;2,14,1,"Law, Justice and Human Rights"
Sajid Ahmed,Sajid Ahmed,6,Undirected,6,0,1,0,6,2;3;4;5,14,0,
Khalid Hussain Magsi,Usama Qadri,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Nafeesa Inayatullah Khan Khattak,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Malik Muhammad Aamir Dogar,6,Undirected,0,6,0,0,6,1;3,15,0,
Dr. Muhammad Afzal Khan Dhandla,Syed Sajid Mehdi,6,Undirected,0,6,0,0,6,1;4,15,1,"National Health Services, Regulations and Coordination"
Iqbal Muhammad Ali Khan,Tahira Aurangzeb,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Ms. Nafisa Shah,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Uzma Riaz,6,Undirected,0,6,0,0,6,1;3,15,0,
Iqbal Muhammad Ali Khan,Khalid Hussain Magsi,6,Undirected,0,6,0,0,6,1;3,15,0,
Iqbal Muhammad Ali Khan,Muhammad Rehan Hashmi,6,Undirected,6,0,1,0,6,1;2,14,1,"Law, Justice and Human Rights"
Iqbal Muhammad Ali Khan,Ms. Nafisa Shah,6,Undirected,0,6,0,0,6,1;3,15,0,
Iqbal Muhammad Ali Khan,Mohammad Salman Khan Baloch,6,Undirected,6,0,1,0,6,1;2,14,1,"Law, Justice and Human Rights"
Iqbal Muhammad Ali Khan,Malik Muhammad Aamir Dogar,6,Undirected,0,6,0,0,6,1;3,15,0,
Iqbal Muhammad Ali Khan,Shaista Pervaiz,6,Undirected,0,6,0,0,6,1;3,15,0,
Aasiya Nasir,Shahida Akhtar Ali,6,Undirected,6,0,1,0,6,1;3;4,14,2,"Defence;Law, Justice and Human Rights"
Iqbal Muhammad Ali Khan,Uzma Riaz,6,Undirected,0,6,0,0,6,1;3,15,0,
Ali Khan Jadoon,Engineer Sabir Hussain,6,Undirected,0,6,0,0,6,1;3,15,0,
Ali Khan Jadoon,Iqbal Muhammad Ali Khan,6,Undirected,0,6,0,0,6,1;3,15,0,
Ali Khan Jadoon,Kishwer Zehra,6,Undirected,0,6,0,0,6,1;3,15,0,
Ali Khan Jadoon,Rana Muhammad Qasim Noon,6,Undirected,6,0,1,0,6,1;3,15,0,
Ali Khan Jadoon,Shaista Pervaiz,6,Undirected,0,6,0,0,6,1;3,15,0,
Ali Khan Jadoon,Malik Muhammad Aamir Dogar,6,Undirected,6,0,0,0,6,1;3,15,0,
Ali Khan Jadoon,Usama Qadri,6,Undirected,0,6,0,0,6,1;3,15,0,
Khalid Hussain Magsi,Shaista Pervaiz,6,Undirected,0,6,0,0,6,1;3,15,0,
Abdul Qadir Patel,Abdul Qadir Patel,6,Undirected,6,0,1,3,3,3;4;5,15,0,
Ali Khan Jadoon,Tahira Aurangzeb,6,Undirected,0,6,0,0,6,1;3,15,0,
Malik Muhammad Aamir Dogar,Ms. Nafisa Shah,6,Undirected,0,6,0,0,6,1;3,15,0,
Iqbal Muhammad Ali Khan,Rana Muhammad Qasim Noon,6,Undirected,0,6,0,0,6,1;3,15,0,
Ali Khan Jadoon,Khalid Hussain Magsi,6,Undirected,0,6,0,0,6,1;3,15,0,
Agha Hassan Baloch,Sardar Akhter Jan Mengal,6,Undirected,6,0,1,0,6,2;3,15,0,
Aaisha Gulalai,Makhdoom Shah Mahmood Qureshi,6,Undirected,6,0,1,0,6,2;3,14,0,
Fawad Ahmed,Fawad Ahmed,6,Undirected,6,0,1,6,0,3,15,0,
Muhammad Ali Rashid,Muhammad Muzammil Qureshi,5,Undirected,5,0,1,0,5,5,14,0,
Dr. Shazia Sobia,Dr. Shazia Sobia,5,Undirected,5,0,1,0,5,1,15,0,
Muhammad Ali Rashid,Syed Waseem Hussain,5,Undirected,5,0,1,0,5,5,14,0,
Muhammad Ali Rashid,Muhammad Kamal Malik,5,Undirected,5,0,1,0,5,5,14,0,
Aaisha Gulalai,Sajida Begum,5,Undirected,5,0,1,0,5,2,14,0,
Aaisha Gulalai,Munaza Hassan,5,Undirected,5,0,1,0,5,2,14,0,
Agha Hassan Baloch,Mohsin Javed,5,Undirected,0,5,0,0,5,3,15,0,
Asma Hadeed,Choudhary Faqir Ahmad,5,Undirected,0,5,0,0,5,4,15,1,Interior
Dr. Arif Alvi,Shehryar Afridi,5,Undirected,5,0,1,0,5,2,14,0,
Dr. Arif Alvi,Shafqat Mehmood,5,Undirected,5,0,1,0,5,2,14,0,
Mrs. Shahida Rehmani,Mrs. Shahida Rehmani,5,Undirected,5,0,1,0,5,1;3;4,14;15,0,
Makhdoom Shah Mahmood Qureshi,Sajida Begum,5,Undirected,5,0,1,0,5,2,14,0,
Imran Khan,Rai Hasan Nawaz Khan,5,Undirected,5,0,1,0,5,2,14,0,
Sharmila Sahiba Faruqui Hashaam,Sharmila Sahiba Faruqui Hashaam,5,Undirected,5,0,1,0,5,1,16,0,
Seema Mohiuddin Jameeli,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,5,14,0,
Parveen Masood Bhatti,Tahira Aurangzeb,5,Undirected,5,0,1,0,5,5,14,0,
Parveen Masood Bhatti,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,5,14,0,
Shahid Khaqan Abbasi,Shahid Khaqan Abbasi,5,Undirected,5,0,1,1,4,2;3,14;15,0,
Rana Sana Ullah Khan,Rana Sana Ullah Khan,5,Undirected,5,0,1,0,5,3,15,0,
Shahnaz Saleem Malik,Tahira Aurangzeb,5,Undirected,5,0,1,0,5,5,14,0,
Dr. Arif Alvi,Sajida Begum,5,Undirected,5,0,1,0,5,2,14,0,
Shahnaz Saleem Malik,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Hafeez Ur Rehman Khan,Dr. Nikhat Shakeel Khan,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Hafeez Ur Rehman Khan,Kishwer Zehra,5,Undirected,0,5,0,0,5,5,14,0,
Khawaja Saad Rafique,Sardar Ayaz Sadiq,5,Undirected,5,0,1,0,5,2;3,15,0,
Khawaja Saad Rafique,Shaza Fatima Khawaja,5,Undirected,5,0,1,0,5,2;3,15,0,
Aftab Jehangir,Shaista Pervaiz,5,Undirected,0,5,0,0,5,1,15,0,
Aftab Jehangir,Rana Muhammad Qasim Noon,5,Undirected,5,0,1,0,5,1,15,0,
Dr. Hafeez Ur Rehman Khan,Shahnaz Saleem Malik,5,Undirected,5,0,1,0,5,5,14,0,
Dr. Hafeez Ur Rehman Khan,Seema Mohiuddin Jameeli,5,Undirected,5,0,1,0,5,5,14,0,
Mehmood Khan Achakzai,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Mehmood Khan Achakzai,Ms. Nafisa Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Mehmood Khan Achakzai,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Mehmood Khan Achakzai,Nawab Muhammad Yousuf Talpur,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Mehmood Khan Achakzai,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Mehmood Khan Achakzai,Muhammad Raza Hayat Hiraj,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Mehmood Khan Achakzai,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Aasiya Nasir,Mrs. Aliya Kamran,5,Undirected,5,0,0,0,5,1;3,14,2,"Defence;Law, Justice and Human Rights"
Aasiya Nasir,Ameer Zaman,5,Undirected,5,0,1,0,5,1;2;3,14,1,"Law, Justice and Human Rights"
Malik Muhammad Aamir Dogar,Saleh Muhammad,5,Undirected,5,0,0,0,5,1,15,0,
Malik Muhammad Aamir Dogar,Syed Amin ul Haque,5,Undirected,0,5,0,0,5,1,15,0,
Shaista Pervaiz,Syed Amin ul Haque,5,Undirected,0,5,0,0,5,1,15,0,
Dr. Muhammad Farooq Sattar,Syed Asif Hasnain,5,Undirected,5,0,1,0,5,1;3;4,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Imran Zafar Leghari,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Imran Zafar Leghari,Ms. Nafisa Shah,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Imran Zafar Leghari,Mehmood Khan Achakzai,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Imran Zafar Leghari,Muhammad Raza Hayat Hiraj,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Imran Zafar Leghari,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Nawab Muhammad Yousuf Talpur,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Nawab Muhammad Yousuf Talpur,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Nawab Muhammad Yousuf Talpur,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Nawab Muhammad Yousuf Talpur,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Syed Qazim Ali Shah,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Ms. Nafisa Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Mehmood Khan Achakzai,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Imran Zafar Leghari,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Nawab Muhammad Yousuf Talpur,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Syed Qazim Ali Shah,5,Undirected,5,0,0,0,5,2,14,1,"Law, Justice and Human Rights"
Khalid Hussain Magsi,Saleh Muhammad,5,Undirected,0,5,0,0,5,1,15,0,
Khalid Hussain Magsi,Syed Amin ul Haque,5,Undirected,0,5,0,0,5,1,15,0,
Ali Khan Jadoon,Ali Khan Jadoon,5,Undirected,5,0,1,0,5,1;2,15,0,
Ali Khan Jadoon,Prince Muhammad Nawaz Allai,5,Undirected,5,0,1,0,5,1,15,0,
Aasiya Nasir,Naeema Kishwar Khan,5,Undirected,5,0,1,0,5,1;2;3;4,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Muhammad Raza Hayat Hiraj,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ghous Bux Khan Mahar,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Raza Hayat Hiraj,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Raza Hayat Hiraj,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Raza Hayat Hiraj,Nawab Muhammad Yousuf Talpur,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Raza Hayat Hiraj,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Raza Hayat Hiraj,Umar Ayub Khan,5,Undirected,5,0,0,0,5,2,14,1,"Law, Justice and Human Rights"
Sanjay Perwani,Sufyan Yousuf,5,Undirected,5,0,1,0,5,3,14,0,
Sanjay Perwani,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Sanjay Perwani,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ali Muhammad Khan,Shehryar Afridi,5,Undirected,5,0,1,0,5,2,14,0,
Imran Zafar Leghari,Nawab Muhammad Yousuf Talpur,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Imran Zafar Leghari,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Abdul Rashid Godil,Mehboob Alam,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Shireen Mehrunnisa Mazari,Sajida Begum,5,Undirected,5,0,1,0,5,2,14,0,
Ms. Nafisa Shah,Shazia Marri,5,Undirected,5,0,1,0,5,2,14,1,Parliamentary Affairs
Ms. Nafisa Shah,Prince Muhammad Nawaz Allai,5,Undirected,0,5,0,0,5,1,15,0,
Ali Muhammad Khan,Zaheer-ud-Din Babar Awan,5,Undirected,5,0,1,5,0,4,15,0,
Ali Muhammad Khan,Rai Hasan Nawaz Khan,5,Undirected,5,0,1,0,5,2,14,0,
Dr. Muhammad Farooq Sattar,Sufyan Yousuf,5,Undirected,5,0,1,0,5,1;3;4,14,2,"Interior and Narcotics Control;Law, Justice and Human Rights"
Rana Muhammad Qasim Noon,Saleh Muhammad,5,Undirected,5,0,1,0,5,1,15,0,
Rana Muhammad Qasim Noon,Syed Amin ul Haque,5,Undirected,0,5,0,0,5,1,15,0,
Aftab Jehangir,Aftab Jehangir,5,Undirected,5,0,1,0,5,1,15,0,
Aftab Jehangir,Prince Muhammad Nawaz Allai,5,Undirected,5,0,1,0,5,1,15,0,
Aftab Jehangir,Ms. Nafisa Shah,5,Undirected,0,5,0,0,5,1,15,0,
Aftab Jehangir,Uzma Riaz,5,Undirected,5,0,1,0,5,1,15,0,
Dr. Shireen Mehrunnisa Mazari,Shafqat Mehmood,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Imran Khan,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Asad Umar,5,Undirected,5,0,1,0,5,2,14,0,
Ms. Nafisa Shah,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ali Muhammad Khan,Qaisar Jamal,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Amirullah,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Aqibullah,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Imran Khattak,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Sajida Begum,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Munaza Hassan,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Makhdoom Shah Mahmood Qureshi,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Shafqat Mehmood,5,Undirected,5,0,1,0,5,2,14,0,
Ali Muhammad Khan,Junaid Akbar,5,Undirected,5,0,1,0,5,2,14,0,
S. A. Iqbal Qadri,Seema Mohiuddin Jameeli,5,Undirected,0,5,0,0,5,5,14,0,
Shaikh Salahuddin,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Qadir Khan Mandokhail,Syed Javed Hassnain,5,Undirected,0,5,0,0,5,5,15,0,
Abdul Rashid Godil,Sanjay Perwani,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Abdul Rashid Godil,Muhammad Rehan Hashmi,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Abdul Rashid Godil,Abdul Waseem,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Khalid Maqbool Siddiqui,Parveen Masood Bhatti,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Khalid Maqbool Siddiqui,Tahira Aurangzeb,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Fouzia Hameed,Tahira Aurangzeb,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Fouzia Hameed,Dr. Hafeez Ur Rehman Khan,5,Undirected,0,5,0,0,5,5,14,0,
Prince Muhammad Nawaz Allai,Usama Qadri,5,Undirected,0,5,0,0,5,1,15,0,
Prince Muhammad Nawaz Allai,Shaista Pervaiz,5,Undirected,0,5,0,0,5,1,15,0,
S. A. Iqbal Qadri,Shahnaz Saleem Malik,5,Undirected,0,5,0,0,5,5,14,0,
Ms. Nafisa Shah,Nawab Muhammad Yousuf Talpur,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Shireen Mehrunnisa Mazari,Shehryar Afridi,5,Undirected,5,0,1,0,5,2,14,0,
Dr. Arif Alvi,Imran Khan,5,Undirected,5,0,1,0,5,2,14,0,
Asad Umar,Imran Khan,5,Undirected,5,0,1,0,5,2,14,0,
Asad Umar,Imran Khattak,5,Undirected,5,0,1,0,5,2,14,0,
Asad Umar,Nafeesa Inayatullah Khan Khattak,5,Undirected,5,0,1,0,5,1;3,14,2,Cabinet Secretariat;Interior and Narcotics Control
Engineer Sabir Hussain,Saleh Muhammad,5,Undirected,0,5,0,0,5,1,15,0,
Ms. Nafisa Shah,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ms. Nafisa Shah,Muhammad Raza Hayat Hiraj,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Prince Muhammad Nawaz Allai,Rana Muhammad Qasim Noon,5,Undirected,5,0,1,0,5,1,15,0,
Prince Muhammad Nawaz Allai,Saleh Muhammad,5,Undirected,5,0,1,0,5,1,15,0,
Prince Muhammad Nawaz Allai,Syed Amin ul Haque,5,Undirected,0,5,0,0,5,1,15,0,
Prince Muhammad Nawaz Allai,Tahira Aurangzeb,5,Undirected,0,5,0,0,5,1,15,0,
Ms. Nafisa Shah,Saleh Muhammad,5,Undirected,0,5,0,0,5,1,15,0,
Ms. Nafisa Shah,Syed Amin ul Haque,5,Undirected,0,5,0,0,5,1,15,0,
Ms. Nafisa Shah,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Ms. Nafisa Shah,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Imran Khan,Qaisar Jamal,5,Undirected,5,0,1,0,5,2,14,0,
Imran Khan,Imran Khattak,5,Undirected,5,0,1,0,5,2,14,0,
S. A. Iqbal Qadri,Tahira Aurangzeb,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Khalid Maqbool Siddiqui,Sajid Ahmed,5,Undirected,5,0,1,0,5,1;4;5,14,1,Interior and Narcotics Control
Dr. Khalid Maqbool Siddiqui,Syed Asif Hasnain,5,Undirected,5,0,1,0,5,1;3;4,14,1,Interior and Narcotics Control
Dr. Khalid Maqbool Siddiqui,Sufyan Yousuf,5,Undirected,5,0,1,0,5,1;3;4,14,2,Cabinet Secretariat;Interior and Narcotics Control
Dr. Khalid Maqbool Siddiqui,Shahnaz Saleem Malik,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Khalid Maqbool Siddiqui,Seema Mohiuddin Jameeli,5,Undirected,0,5,0,0,5,5,14,0,
Choudhary Faqir Ahmad,Fauzia Behram,5,Undirected,0,5,0,0,5,4,15,1,Interior
Aftab Jehangir,Usama Qadri,5,Undirected,0,5,0,0,5,1,15,0,
Aftab Jehangir,Nafeesa Inayatullah Khan Khattak,5,Undirected,5,0,1,0,5,1,15,0,
Aftab Jehangir,Ali Khan Jadoon,5,Undirected,5,0,1,0,5,1,15,0,
Aftab Jehangir,Malik Muhammad Aamir Dogar,5,Undirected,5,0,0,0,5,1,15,0,
Dr. Azra Fazal Pecheho,Umar Ayub Khan,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Prince Muhammad Nawaz Allai,Uzma Riaz,5,Undirected,5,0,1,0,5,1,15,0,
Dr. Fouzia Hameed,Shahnaz Saleem Malik,5,Undirected,0,5,0,0,5,5,14,0,
Aqibullah,Dr. Shireen Mehrunnisa Mazari,5,Undirected,5,0,1,0,5,2,14,0,
Aqibullah,Dr. Arif Alvi,5,Undirected,5,0,1,0,5,2,14,0,
Aqibullah,Rai Hasan Nawaz Khan,5,Undirected,5,0,1,0,5,2,14,0,
Aqibullah,Imran Khan,5,Undirected,5,0,1,0,5,2,14,0,
Aqibullah,Asad Umar,5,Undirected,5,0,1,0,5,2,14,0,
Aqibullah,Qaisar Jamal,5,Undirected,5,0,1,0,5,2,14,0,
Aqibullah,Imran Khattak,5,Undirected,5,0,1,0,5,2,14,0,
Dr. Fouzia Hameed,Muhammad Ali Rashid,5,Undirected,5,0,1,0,5,5,14,0,
Dr. Azra Fazal Pecheho,Sanjay Perwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Dr. Ramesh Kumar Vankwani,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Mehmood Khan Achakzai,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Shaikh Salahuddin,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Imran Zafar Leghari,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Nawab Muhammad Yousuf Talpur,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Syed Qazim Ali Shah,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Ghous Bux Khan Mahar,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Dr. Azra Fazal Pecheho,Muhammad Raza Hayat Hiraj,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Kamal Malik,Sajid Ahmed,5,Undirected,5,0,1,0,5,5,14,0,
Dr. Muhammad Farooq Sattar,Muhammad Ali Rashid,5,Undirected,5,0,1,0,5,5,14,0,
Choudhary Faqir Ahmad,Dr. Muhammad Afzal Khan Dhandla,5,Undirected,0,5,0,0,5,4,15,1,"National Health Services, Regulations and Coordination"
Choudhary Faqir Ahmad,Syed Sajid Mehdi,5,Undirected,5,0,1,0,5,4,15,1,"National Health Services, Regulations and Coordination"
Choudhary Faqir Ahmad,Mrs. Shahida Rehmani,5,Undirected,0,5,0,0,5,4,15,1,Interior
Choudhary Faqir Ahmad,Dr. Seemin Abdul Rehman Bokhari,5,Undirected,0,5,0,0,5,4,15,1,Interior
Choudhary Faqir Ahmad,Kiran Imran,5,Undirected,5,0,1,0,5,4,15,1,Interior
Kishwer Zehra,Saleh Muhammad,5,Undirected,0,5,0,0,5,1,15,0,
Kishwer Zehra,Shahnaz Saleem Malik,5,Undirected,0,5,0,0,5,5,14,0,
Kishwer Zehra,Seema Mohiuddin Jameeli,5,Undirected,0,5,0,0,5,5,14,0,
Kishwer Zehra,Prince Muhammad Nawaz Allai,5,Undirected,0,5,0,0,5,1,15,0,
Choudhary Faqir Ahmad,Romina Khurshid Alam,5,Undirected,5,0,1,0,5,4,15,1,Interior
Bhawan Das,Muhammad Ali Rashid,5,Undirected,0,5,0,0,5,5,14,0,
Bhawan Das,Muhammad Muzammil Qureshi,5,Undirected,0,5,0,0,5,5,14,0,
Bhawan Das,Dr. Muhammad Farooq Sattar,5,Undirected,0,5,0,0,5,5,14,0,
Bhawan Das,Mehboob Alam,5,Undirected,0,5,0,0,5,5,14,0,
Bhawan Das,Syed Waseem Hussain,5,Undirected,0,5,0,0,5,5,14,0,
Engineer Sabir Hussain,Prince Muhammad Nawaz Allai,5,Undirected,0,5,0,0,5,1,15,0,
Sheikh Aftab Ahmed,Tariq Fazal Chaudhry,5,Undirected,5,0,1,0,5,1,16,0,
Sheikh Aftab Ahmed,Sheikh Aftab Ahmed,5,Undirected,5,0,1,4,1,1;5,14;16,0,
Ameer Zaman,Shahida Akhtar Ali,5,Undirected,5,0,1,0,5,1;2;3,14,1,"Law, Justice and Human Rights"
Dr. Fouzia Hameed,Sufyan Yousuf,5,Undirected,5,0,1,0,5,3;4,14,0,
Dr. Azra Fazal Pecheho,Shazia Marri,5,Undirected,5,0,1,0,5,2,14,1,Parliamentary Affairs
Bhawan Das,Dr. Fouzia Hameed,5,Undirected,0,5,0,0,5,5,14,0,
Bhawan Das,Sajid Ahmed,5,Undirected,0,5,0,0,5,5,14,0,
Mohsin Javed,Sardar Akhter Jan Mengal,5,Undirected,0,5,0,0,5,3,15,0,
Choudhary Faqir Ahmad,Rao Muhammad Ajmal Khan,5,Undirected,5,0,1,0,5,4,15,1,Interior
Dr. Nikhat Shakeel Khan,Shahnaz Saleem Malik,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Nikhat Shakeel Khan,Parveen Masood Bhatti,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Nikhat Shakeel Khan,Tahira Aurangzeb,5,Undirected,0,5,0,0,5,5,14,0,
Abdul Rashid Godil,Mohammad Salman Khan Baloch,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Abdul Rashid Godil,Syed Waseem Hussain,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Rehan Hashmi,Sanjay Perwani,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Muhammad Rehan Hashmi,Saman Sultana Jafri,5,Undirected,5,0,1,0,5,2,14,1,"Law, Justice and Human Rights"
Shaikh Salahuddin,Tahira Aurangzeb,5,Undirected,0,5,0,0,5,5,14,0,
Amjid Ali Khan,Sadaqat Ali Khan,5,Undirected,5,0,1,0,5,2,15,0,
Choudhary Faqir Ahmad,Tahira Aurangzeb,5,Undirected,5,0,1,0,5,4,15,1,Interior
Dr. Fouzia Hameed,Seema Mohiuddin Jameeli,5,Undirected,0,5,0,0,5,5,14,0,
Dr. Fouzia Hameed,Parveen Masood Bhatti,5,Undirected,0,5,0,0,5,5,14,0,
Abdul Waseem,Dr. Azra Fazal Pecheho,5,Undirected,0,5,0,0,5,2,14,1,"Law, Justice and Human Rights"
